series,model,run_id,seed,fold,accuracy,precision,recall,f1,roc_auc,n_test
lemmatized,LinearSVM,s42_f0,42,0,0.9275830258302583,0.9185126582278481,0.9555555555555556,0.936668011294877,0.9526977834777764,2168
lemmatized,LinearSVM,s42_f1,42,1,0.9155514536225197,0.9056603773584906,0.9481481481481482,0.9264173703256936,0.9414047100321611,2167
lemmatized,LinearSVM,s42_f2,42,2,0.9206275957544993,0.9116022099447514,0.9506172839506173,0.9307010475423045,0.9469913891482519,2167
lemmatized,LinearSVM,s42_f3,42,3,0.9187817258883249,0.8974751338944147,0.9654320987654321,0.9302141157811261,0.945458553791887,2167
lemmatized,LinearSVM,s42_f4,42,4,0.9243193354868482,0.91015625,0.9596375617792422,0.9342421812349639,0.9578812075281214,2167
lemmatized,LinearSVM,s43_f0,43,0,0.9252767527675276,0.9116497263487099,0.9596707818930041,0.9350441058540497,0.9473423756040055,2168
lemmatized,LinearSVM,s43_f1,43,1,0.925703737886479,0.91171875,0.9604938271604938,0.9354709418837676,0.9555642009890375,2167
lemmatized,LinearSVM,s43_f2,43,2,0.9090909090909091,0.8861911987860395,0.9613168724279836,0.9222266087643111,0.9456937095825985,2167
lemmatized,LinearSVM,s43_f3,43,3,0.9224734656206738,0.9138339920948617,0.951440329218107,0.932258064516129,0.9481127018708718,2167
lemmatized,LinearSVM,s43_f4,43,4,0.9247808029533918,0.9193934557063048,0.9489291598023064,0.9339278475881637,0.9519517832354605,2167
lemmatized,LinearSVM,s44_f0,44,0,0.9174354243542435,0.9117647058823529,0.9440329218106996,0.9276182773958754,0.9481110117929519,2168
lemmatized,LinearSVM,s44_f1,44,1,0.9247808029533918,0.9090202177293935,0.9621399176954732,0.9348260695721712,0.9489400698551026,2167
lemmatized,LinearSVM,s44_f2,44,2,0.9183202584217812,0.9029503105590062,0.9572016460905349,0.9292848581701958,0.9466766953695058,2167
lemmatized,LinearSVM,s44_f3,44,3,0.925703737886479,0.9156151419558359,0.9555555555555556,0.9351590817559404,0.9558335062420029,2167
lemmatized,LinearSVM,s44_f4,44,4,0.9201661282879557,0.9050583657587549,0.9579901153212521,0.9307723089235694,0.9492796527397225,2167
lemmatized,LinearSVM,s45_f0,45,0,0.915590405904059,0.9056603773584906,0.9481481481481482,0.9264173703256936,0.9431390583774867,2168
lemmatized,LinearSVM,s45_f1,45,1,0.928011075219197,0.9166011014948859,0.9588477366255144,0.9372485921158488,0.9544385655496765,2167
lemmatized,LinearSVM,s45_f2,45,2,0.9224734656206738,0.9118804091266719,0.9539094650205762,0.9324215607401448,0.9506596465746794,2167
lemmatized,LinearSVM,s45_f3,45,3,0.9243193354868482,0.9076803723816912,0.9629629629629629,0.9345047923322684,0.951173185323512,2167
lemmatized,LinearSVM,s45_f4,45,4,0.9197046608214121,0.905616224648986,0.9563426688632619,0.9302884615384616,0.9485125442762041,2167
lemmatized,LinearSVM,s46_f0,46,0,0.9123616236162362,0.8933231005372217,0.9580246913580247,0.9245432883240667,0.9433420128768153,2168
lemmatized,LinearSVM,s46_f1,46,1,0.9187817258883249,0.9024012393493416,0.9588477366255144,0.9297685554668795,0.9474176090189163,2167
lemmatized,LinearSVM,s46_f2,46,2,0.9261652053530226,0.9163378058405682,0.9555555555555556,0.935535858178888,0.9541714216550817,2167
lemmatized,LinearSVM,s46_f3,46,3,0.9326257498846331,0.9225296442687747,0.9604938271604938,0.9411290322580645,0.9604216377909188,2167
lemmatized,NeuralNet,s42_f0,42,0,0.9049815498154982,0.9159109645507008,0.91440329218107,0.9151565074135091,0.9482422844903898,2168
lemmatized,NeuralNet,s42_f1,42,1,0.8929395477618828,0.8885375494071146,0.9251028806584363,0.9064516129032258,0.9398744683058409,2167
lemmatized,NeuralNet,s42_f2,42,2,0.8952468850946008,0.9022801302931596,0.9119341563786009,0.9070814572247237,0.944068368087976,2167
lemmatized,NeuralNet,s42_f3,42,3,0.9063221042916474,0.8821752265861027,0.9613168724279836,0.9200472627018511,0.9454092748210396,2167
lemmatized,NeuralNet,s42_f4,42,4,0.904476234425473,0.9018355945730248,0.9308072487644151,0.9160924199432509,0.9462090580167373,2167
lemmatized,NeuralNet,s43_f0,43,0,0.9137453874538746,0.9118589743589743,0.9366255144032922,0.9240763296792529,0.9448922397972181,2168
lemmatized,NeuralNet,s43_f1,43,1,0.9090909090909091,0.9026898734177216,0.9390946502057613,0.9205324727712787,0.9516668395753363,2167
lemmatized,NeuralNet,s43_f2,43,2,0.904476234425473,0.8906976744186047,0.945679012345679,0.9173652694610779,0.9419208424110384,2167
lemmatized,NeuralNet,s43_f3,43,3,0.9007844946931242,0.9045307443365695,0.920164609053498,0.9122807017543859,0.9421006674274648,2167
lemmatized,NeuralNet,s43_f4,43,4,0.91047531149054,0.9173486088379705,0.9233937397034596,0.9203612479474549,0.9492126658034716,2167
lemmatized,NeuralNet,s44_f0,44,0,0.900830258302583,0.9078303425774877,0.9160493827160494,0.9119213437115936,0.9460996031591812,2168
lemmatized,NeuralNet,s44_f1,44,1,0.89386248269497,0.8826728826728827,0.9349794238683128,0.9080735411670664,0.9407796451914099,2167
lemmatized,NeuralNet,s44_f2,44,2,0.8841716658975542,0.8813291139240507,0.9168724279835391,0.8987494957644211,0.9294878445205244,2167
lemmatized,NeuralNet,s44_f3,44,3,0.9049377018920166,0.8988142292490119,0.9358024691358025,0.9169354838709678,0.9456924127675762,2167
lemmatized,NeuralNet,s44_f4,44,4,0.8943239501615136,0.8808971384377416,0.9382207578253706,0.9086557638611886,0.9428610077255385,2167
lemmatized,NeuralNet,s45_f0,45,0,0.9022140221402214,0.9067315490673155,0.920164609053498,0.9133986928104575,0.941118149745875,2168
lemmatized,NeuralNet,s45_f1,45,1,0.9063221042916474,0.9028662420382165,0.9333333333333333,0.9178470254957507,0.9520800912957775,2167
lemmatized,NeuralNet,s45_f2,45,2,0.9003230272265805,0.8986432561851556,0.9267489711934156,0.9124797406807131,0.9463222325967424,2167
lemmatized,NeuralNet,s45_f3,45,3,0.8966312874942317,0.8941925218774861,0.9251028806584363,0.9093851132686084,0.9400897395995437,2167
lemmatized,NeuralNet,s45_f4,45,4,0.906783571758191,0.8990536277602523,0.9390444810543658,0.9186140209508461,0.9434958710116842,2167
lemmatized,NeuralNet,s46_f0,46,0,0.900830258302583,0.8846153846153846,0.9465020576131687,0.9145129224652088,0.941883331390152,2168
lemmatized,NeuralNet,s46_f1,46,1,0.8970927549607752,0.9072249589490968,0.9094650205761317,0.9083436087135224,0.9429020991112494,2167
lemmatized,NeuralNet,s46_f2,46,2,0.9003230272265805,0.9037995149555376,0.920164609053498,0.9119086460032626,0.9435522357090984,2167
lemmatized,NeuralNet,s46_f3,46,3,0.9197046608214121,0.9069585613760751,0.9547325102880658,0.9302325581395349,0.9556951793062903,2167
lemmatized,RandomForest,s42_f0,42,0,0.9321955719557196,0.9285714285714286,0.9522633744855967,0.9402681836651767,0.9626360766736188,2168
lemmatized,RandomForest,s42_f1,42,1,0.9183202584217812,0.9106012658227848,0.9473251028806584,0.9286002420330779,0.950917712764118,2167
lemmatized,RandomForest,s42_f2,42,2,0.9330872173511767,0.9349593495934959,0.9465020576131687,0.9406952965235174,0.9606580903966525,2167
lemmatized,RandomForest,s42_f3,42,3,0.9266266728195662,0.9131455399061033,0.9604938271604938,0.9362214199759326,0.9537387177093058,2167
lemmatized,RandomForest,s42_f4,42,4,0.9335486848177204,0.9328478964401294,0.9497528830313015,0.9412244897959183,0.9583285073927648,2167
lemmatized,RandomForest,s43_f0,43,0,0.9294280442804428,0.9200949367088608,0.9572016460905349,0.9382815651472368,0.9550870329347652,2168
lemmatized,RandomForest,s43_f1,43,1,0.925703737886479,0.9236334405144695,0.945679012345679,0.9345262301748678,0.9542799218452813,2167
