model,metric,n_pairs,mean_classic,mean_trans,mean_diff,wilcoxon_stat,p_raw
LinearSVM,f1,59,0.9307001255098575,0.9335626402218363,-0.0028625147119787364,48.0,4.053695617109661e-10
LinearSVM,accuracy,59,0.9201503879152265,0.923826113090036,-0.0036757251748094416,28.5,1.5166634337306977e-10
LinearSVM,precision,59,0.9064154936818122,0.9135593421283902,-0.007143848446578031,1.0,2.516350662927767e-11
LinearSVM,recall,59,0.9563859434908745,0.954530018124554,0.001855925366320384,179.0,2.644843064454877e-07
NeuralNet,f1,59,0.9122401603477055,0.9335626402218363,-0.021322479874130718,0.0,2.3900953516978203e-11
NeuralNet,accuracy,59,0.8999335260573555,0.923826113090036,-0.02389258703268049,0.0,2.387381311268091e-11
NeuralNet,precision,59,0.89725968863094,0.9135593421283902,-0.016299653497450266,0.0,2.3900953516978203e-11
NeuralNet,recall,59,0.927923798046069,0.954530018124554,-0.026606220078484972,0.0,2.386606388203391e-11
RandomForest,f1,60,0.9365380581553809,0.9334943283154116,0.003043729839969291,151.0,1.8629980589316482e-08
RandomForest,accuracy,60,0.9277949219847529,0.9237497310944498,0.00404519089030301,98.0,2.8384190374722135e-09
RandomForest,precision,60,0.9231249051041174,0.913500414392575,0.009624490711542573,7.0,2.3197477000866613e-11
RandomForest,recall,60,0.9504169463257877,0.9544503992063331,-0.004033452880545433,12.5,4.465597463258141e-11
SVM,f1,59,0.9313397876568745,0.9335626402218363,-0.0022228525649617423,110.0,4.925155432899507e-09
SVM,accuracy,59,0.9213861099937679,0.923826113090036,-0.0024400030962680457,116.5,1.0434915983458365e-08
SVM,precision,59,0.9125970435187377,0.9135593421283902,-0.0009622986096523322,619.0,0.06709079708473202
SVM,recall,59,0.9509865891170631,0.954530018124554,-0.0035434290074907943,228.5,2.00181021680531e-06
